date,incidents
04/27/2012,158
04/27/2013,131
04/27/2014,148
04/27/2015,419
04/27/2016,128
04/28/2011,135
04/28/2012,138
04/28/2013,135
04/28/2014,148
04/28/2015,183
04/28/2016,125
04/29/2011,149
04/29/2012,126
04/29/2013,138
04/29/2014,117
04/29/2015,106
04/29/2016,127
04/30/2011,157
04/30/2012,133
04/30/2013,128
04/30/2014,113
04/30/2015,119
04/30/2016,96
05-01-11,143
05-01-12,181
05-01-13,169
05-01-14,135
05-01-15,128
05-01-16,120
05-02-11,138
05-02-12,138
05-02-13,120
05-02-14,128
05-02-15,91
05-02-16,143
05-03-11,128
05-03-12,136
05-03-13,142
05-03-14,112
05-03-15,91
05-03-16,139
05-04-11,116
05-04-12,126
05-04-13,96
05-04-14,123
05-04-15,123
05-04-16,125
05-05-11,147
05-05-12,149
05-05-13,115
05-05-14,133
05-05-15,
05-05-16,
05-06-11,
05-06-12,153
05-06-13,156
05-06-14,139
05-06-15,138
05-06-16,140
05-07-11,128
05-07-12,159
05-07-13,111
05-07-14,138
05-07-15,146
05-07-16,117
05-08-11,127
05-08-12,150
05-08-13,169
05-08-14,137
05-08-15,127
05-08-16,119
05-09-11,144
05-09-12,125
05-09-13,158
05-09-14,152
05-09-15,119
05-09-16,157
05-10-11,160
05-10-12,126
05-10-13,153
05-10-14,114
05-10-15,148
05-10-16,140
05-11-11,153
05-11-12,139
05-11-13,118
05-11-14,124
05-11-15,156
05-11-16,130
05-12-11,148
05-12-12,149
05-12-13,121
05-12-14,132
05-12-15,155
05-12-16,165
05/13/2011,182
05/13/2012,158
05/13/2013,145
05/13/2014,130
05/13/2015,124
05/13/2016,135
05/14/2011,137
05/14/2012,145
05/14/2013,120
05/14/2014,142
05/14/2015,132
05/14/2016,119
05/15/2011,128
05/15/2012,170
05/15/2013,141
05/15/2014,153
05/15/2015,169
05/15/2016,139
05/16/2011,157
05/16/2012,138
05/16/2013,167
05/16/2014,147
05/16/2015,144
05/16/2016,128
05/17/2011,139
05/17/2012,159
05/17/2013,161
05/17/2014,160
05/17/2015,104
05/17/2016,142
05/18/2011,150
05/18/2012,152
05/18/2013,167
05/18/2014,120
05/18/2015,137
05/18/2016,124
05/19/2011,153
05/19/2012,160
05/19/2013,126
05/19/2014,131
05/19/2015,157
05/19/2016,122
05/20/2011,164
05/20/2012,154
05/20/2013,145
05/20/2014,148
05/20/2015,176
05/20/2016,147
05/21/2011,155
05/21/2012,132
05/21/2013,152
05/21/2014,139
05/21/2015,144
05/21/2016,129
05/22/2011,120
05/22/2012,151
05/22/2013,164
05/22/2014,162
05/22/2015,162
05/22/2016,112
05/23/2011,157
05/23/2012,163
05/23/2013,154
05/23/2014,147
05/23/2015,137
05/23/2016,123
05/24/2011,145
05/24/2012,164
05/24/2013,157
05/24/2014,122
05/24/2015,128
05/24/2016,155
05/25/2011,168
05/25/2012,163
05/25/2013,147
05/25/2014,127
05/25/2015,140
05/25/2016,148
05/26/2011,147
05/26/2012,154
05/26/2013,141
05/26/2014,118
05/26/2015,177
05/26/2016,156
05/27/2011,184
05/27/2012,141
05/27/2013,135
05/27/2014,149
05/27/2015,173
05/27/2016,158
05/28/2011,134
05/28/2012,150
05/28/2013,167
05/28/2014,131
05/28/2015,176
05/28/2016,161
05/29/2011,136
05/29/2012,147
05/29/2013,148
05/29/2014,117
05/29/2015,179
05/29/2016,106
05/30/2011,157
05/30/2012,142
05/30/2013,126
05/30/2014,129
05/30/2015,160
05/30/2016,163
05/31/2011,135
05/31/2012,174
05/31/2013,158
05/31/2014,127
05/31/2015,136
05/31/2016,134
06-01-11,168
06-01-12,156
06-01-13,144
06-01-14,116
06-01-15,151
06-01-16,129
06-02-11,148
06-02-12,135
06-02-13,146
06-02-14,148
06-02-15,173
06-02-16,132
06-03-11,145
06-03-12,123
06-03-13,156
06-03-14,125
06-03-15,123
06-03-16,137
06-04-11,143
06-04-12,132
06-04-13,150
06-04-14,142
06-04-15,140
06-04-16,156
06-05-11,123
06-05-12,130
06-05-13,136
06-05-14,128
06-05-15,132
06-05-16,254
06-06-11,143
06-06-12,136
06-06-13,161
06-06-14,136
06-06-15,184
06-06-16,174
06-07-11,140
06-07-12,139
06-07-13,127
06-07-14,125
06-07-15,171
06-07-16,130
06-08-11,121
06-08-12,155
06-08-13,158
06-08-14,138
06-08-15,165
06-08-16,157
06-09-11,134
06-09-12,131
06-09-13,127
06-09-14,148
06-09-15,169
06-09-16,138
06-10-11,135
06-10-12,136
06-10-13,130
06-10-14,113
06-10-15,143
06-10-16,166
06-11-11,144
06-11-12,163
06-11-13,155
06-11-14,126
06-11-15,163
06-11-16,149
06-12-11,158
06-12-12,119
06-12-13,145
06-12-14,128
06-12-15,173
06-12-16,127
06/13/2011,127
06/13/2012,152
06/13/2013,
06/13/2014,
06/13/2015,
06/13/2016,
06/14/2011,
06/14/2012,143
06/14/2013,151
06/14/2014,141
06/14/2015,147
06/14/2016,130
06/15/2011,129
06/15/2012,144
06/15/2013,170
06/15/2014,148
06/15/2015,166
06/15/2016,160
06/16/2011,180
06/16/2012,156
06/16/2013,137
06/16/2014,149
06/16/2015,139
06/16/2016,126
06/17/2011,145
06/17/2012,120
06/17/2013,157
06/17/2014,122
06/17/2015,171
06/17/2016,131
06/18/2011,148
06/18/2012,141
06/18/2013,134
06/18/2014,128
06/18/2015,130
06/18/2016,137
06/19/2011,156
06/19/2012,125
06/19/2013,144
06/19/2014,138
06/19/2015,157
06/19/2016,143
06/20/2011,166
06/20/2012,152
06/20/2013,137
06/20/2014,154
06/20/2015,147
06/20/2016,185
06/21/2011,148
06/21/2012,167
06/21/2013,159
06/21/2014,134
06/21/2015,148
06/21/2016,138
06/22/2011,157
06/22/2012,172
06/22/2013,192
06/22/2014,109
06/22/2015,176
06/22/2016,150
06/23/2011,150
06/23/2012,135
06/23/2013,133
06/23/2014,139
06/23/2015,163
06/23/2016,159
06/24/2011,152
06/24/2012,148
06/24/2013,162
06/24/2014,163
06/24/2015,144
06/24/2016,132
06/25/2011,141
06/25/2012,136
06/25/2013,159
06/25/2014,128
06/25/2015,159
06/25/2016,152
06/26/2011,146
06/26/2012,158
06/26/2013,151
06/26/2014,127
06/26/2015,156
06/26/2016,129
06/27/2011,168
06/27/2012,162
06/27/2013,167
06/27/2014,145
06/27/2015,141
06/27/2016,121
06/28/2011,165
06/28/2012,152
06/28/2013,141
06/28/2014,162
06/28/2015,157
06/28/2016,135
06/29/2011,152
06/29/2012,141
06/29/2013,123
06/29/2014,121
06/29/2015,185
06/29/2016,146
06/30/2011,170
06/30/2012,137
06/30/2013,137
06/30/2014,117
06/30/2015,132
06/30/2016,112
07-01-11,175
07-01-12,156
07-01-13,142
07-01-14,155
07-01-15,140
07-01-16,143
07-02-11,142
07-02-12,124
07-02-13,110
07-02-14,119
07-02-15,170
07-02-16,110
07-03-11,130
07-03-12,163
07-03-13,127
07-03-14,121
07-03-15,153
07-03-16,141
07-04-11,161
07-04-12,145
07-04-13,134
07-04-14,114
07-04-15,143
07-04-16,109
07-05-11,127
07-05-12,123
07-05-13,132
07-05-14,128
07-05-15,143
07-05-16,152
07-06-11,157
07-06-12,136
07-06-13,137
07-06-14,141
07-06-15,136
07-06-16,133
07-07-11,114
07-07-12,144
07-07-13,140
07-07-14,138
07-07-15,172
07-07-16,139
07-08-11,160
07-08-12,141
07-08-13,137
07-08-14,122
07-08-15,164
07-08-16,118
07-09-11,143
07-09-12,113
07-09-13,130
07-09-14,144
07-09-15,162
07-09-16,107
07-10-11,163
07-10-12,153
07-10-13,166
07-10-14,138
07-10-15,149
07-10-16,131
07-11-11,158
07-11-12,133
07-11-13,148
07-11-14,141
07-11-15,154
07-11-16,162
07-12-11,121
07-12-12,132
07-12-13,128
07-12-14,129
07-12-15,159
07-12-16,128
07/13/2011,161
07/13/2012,160
07/13/2013,145
07/13/2014,133
07/13/2015,167
07/13/2016,132
07/14/2011,161
07/14/2012,155
07/14/2013,113
07/14/2014,137
07/14/2015,165
07/14/2016,137
07/15/2011,160
07/15/2012,130
07/15/2013,154
07/15/2014,134
07/15/2015,156
07/15/2016,128
07/16/2011,140
07/16/2012,130
07/16/2013,135
07/16/2014,139
07/16/2015,144
07/16/2016,126
07/17/2011,160
07/17/2012,132
07/17/2013,133
07/17/2014,132
07/17/2015,134
07/17/2016,131
07/18/2011,149
07/18/2012,136
07/18/2013,147
07/18/2014,135
07/18/2015,141
07/18/2016,119
07/19/2011,159
07/19/2012,127
07/19/2013,162
07/19/2014,132
07/19/2015,152
07/19/2016,140
07/20/2011,125
07/20/2012,161
07/20/2013,176
07/20/2014,155
07/20/2015,161
07/20/2016,160
07/21/2011,138
07/21/2012,145
07/21/2013,166
07/21/2014,149
07/21/2015,143
07/21/2016,136
07/22/2011,154
07/22/2012,139
07/22/2013,167
07/22/2014,129
07/22/2015,151
07/22/2016,134
07/23/2011,151
07/23/2012,157
07/23/2013,181
07/23/2014,131
07/23/2015,150
07/23/2016,111
07/24/2011,157
07/24/2012,129
07/24/2013,166
07/24/2014,146
07/24/2015,155
07/24/2016,128
07/25/2011,156
07/25/2012,124
07/25/2013,150
07/25/2014,152
07/25/2015,164
07/25/2016,150
07/26/2011,155
07/26/2012,142
07/26/2013,150
07/26/2014,141
07/26/2015,180
07/26/2016,138
07/27/2011,137
07/27/2012,153
07/27/2013,127
07/27/2014,151
07/27/2015,170
07/27/2016,127
07/28/2011,114
07/28/2012,172
07/28/2013,134
07/28/2014,103
07/28/2015,167
07/28/2016,131
07/29/2011,186
07/29/2012,147
07/29/2013,145
07/29/2014,140
07/29/2015,145
07/29/2016,134
07/30/2011,193
07/30/2012,144
07/30/2013,162
07/30/2014,138
07/30/2015,138
07/30/2016,125
07/31/2011,162
07/31/2012,166
07/31/2013,133
07/31/2014,129
07/31/2015,148
07/31/2016,127
08-01-11,158
08-01-12,171
08-01-13,170
08-01-14,176
08-01-15,166
08-01-16,138
08-02-11,113
08-02-12,149
08-02-13,157
08-02-14,113
08-02-15,
08-02-16,
08-03-11,
08-03-12,
08-03-13,
08-03-14,132
08-03-15,151
08-03-16,128
08-04-11,154
08-04-12,134
08-04-13,159
08-04-14,130
08-04-15,151
08-04-16,123
08-05-11,180
08-05-12,182
08-05-13,150
08-05-14,115
08-05-15,133
08-05-16,149
08-06-11,167
08-06-12,152
08-06-13,143
08-06-14,140
08-06-15,140
08-06-16,118
08-07-11,148
08-07-12,138
08-07-13,147
08-07-14,140
08-07-15,158
08-07-16,146
08-08-11,130
08-08-12,155
08-08-13,153
08-08-14,148
08-08-15,165
08-08-16,143
08-09-11,143
08-09-12,149
08-09-13,120
08-09-14,108
08-09-15,150
08-09-16,128
08-10-11,157
08-10-12,153
08-10-13,143
08-10-14,160
08-10-15,155
08-10-16,139
08-11-11,135
08-11-12,151
08-11-13,136
08-11-14,172
08-11-15,131
08-11-16,125
08-12-11,150
08-12-12,164
08-12-13,145
08-12-14,88
08-12-15,124
08-12-16,138
08/13/2011,160
08/13/2012,133
08/13/2013,149
08/13/2014,126
08/13/2015,143
08/13/2016,158
08/14/2011,131
08/14/2012,129
08/14/2013,185
08/14/2014,144
08/14/2015,158
08/14/2016,103
08/15/2011,184
08/15/2012,150
08/15/2013,136
08/15/2014,159
08/15/2015,150
08/15/2016,136
08/16/2011,151
08/16/2012,181
08/16/2013,160
08/16/2014,113
08/16/2015,120
08/16/2016,134
08/17/2011,140
08/17/2012,158
08/17/2013,162
08/17/2014,119
08/17/2015,139
08/17/2016,131
08/18/2011,149
08/18/2012,139
08/18/2013,145
08/18/2014,141
08/18/2015,158
08/18/2016,142
08/19/2011,163
08/19/2012,132
08/19/2013,152
08/19/2014,146
08/19/2015,143
08/19/2016,144
08/20/2011,144
08/20/2012,140
08/20/2013,154
08/20/2014,140
08/20/2015,149
08/20/2016,138
08/21/2011,133
08/21/2012,130
08/21/2013,167
08/21/2014,111
08/21/2015,151
08/21/2016,119
08/22/2011,145
08/22/2012,115
08/22/2013,132
08/22/2014,124
08/22/2015,177
08/22/2016,148
08/23/2011,172
08/23/2012,144
08/23/2013,169
08/23/2014,132
08/23/2015,159
08/23/2016,134
08/24/2011,148
08/24/2012,138
08/24/2013,152
08/24/2014,102
08/24/2015,161
08/24/2016,133
08/25/2011,155
08/25/2012,164
08/25/2013,126
08/25/2014,156
08/25/2015,168
08/25/2016,129
08/26/2011,160
08/26/2012,104
08/26/2013,144
08/26/2014,134
08/26/2015,150
08/26/2016,143
08/27/2011,130
08/27/2012,134
08/27/2013,135
08/27/2014,133
08/27/2015,158
08/27/2016,144
08/28/2011,120
08/28/2012,122
08/28/2013,161
