Date,Open,High,Low,Close,Adj Close,Volume
2023-03-02,11273.76953,11487.58984,11273.61035,11462.98047,11462.98047,5313760000
2023-03-03,11524.65039,11699.62988,11514.74023,11689.00977,11689.00977,5102210000
2023-03-06,11736.87012,11827.91992,11667.48047,11675.74023,11675.74023,4982880000
2023-03-07,11670.98047,11705.95996,11512.03027,11530.33008,11530.33008,5422820000
2023-03-08,11553.08984,11601.23047,11487.75,11576,11576,5085970000
2023-03-09,11578.30957,11667.12012,11319.98047,11338.34961,11338.34961,5061790000
2023-03-10,11325.36035,11373.80957,11093.86035,11138.88965,11138.88965,6193500000
2023-03-13,11041.45996,11326.73047,10982.79981,11188.83984,11188.83984,6201490000
2023-03-14,11357.73047,11467.01953,11284.92969,11428.15039,11428.15039,5533120000
2023-03-15,11291.16992,11447.90039,11238.44043,11434.04981,11434.04981,5912430000
2023-03-16,11384.87012,11733.79981,11365.49023,11717.28027,11717.28027,5498920000
2023-03-17,11696.33984,11773.11035,11562.62988,11630.50977,11630.50977,7903090000
2023-03-20,11614.38965,11695.54981,11550.69043,11675.54004,11675.54004,4970630000
2023-03-21,11764.79004,11879.16016,11724.91016,11860.11035,11860.11035,4829870000
2023-03-22,11857.5,12013.99023,11666.84961,11669.95996,11669.95996,4981590000
2023-03-23,11811.32031,11962.69043,11684.51953,11787.40039,11787.40039,4917460000
2023-03-24,11747.62012,11826.23047,11670.66992,11823.95996,11823.95996,4363650000
2023-03-27,11868.54004,11903.20996,11739.04981,11768.83984,11768.83984,4330320000
2023-03-28,11752.75977,11752.75977,11635.03027,11716.08008,11716.08008,4036910000
2023-03-29,11855.58984,11941.59961,11823.34961,11926.24023,11926.24023,4493540000
2023-03-30,12010.4502,12044.79004,11953.37012,12013.46973,12013.46973,4738880000
2023-03-31,12031.54004,12227.92969,12030.44043,12221.91016,12221.91016,5521150000
2023-04-03,12146.08984,12196.33984,12086.51953,12189.4502,12189.4502,4816440000
2023-04-04,12208.49023,12224.67969,12081.80957,12126.33008,12126.33008,4298760000
2023-04-05,12081.75977,12086.75,11931.84961,11996.86035,11996.86035,4378590000
2023-04-06,11939.08008,12098.5,11898.36035,12087.95996,12087.95996,3862800000
2023-04-10,11975.12988,12084.9502,11924.2002,12084.36035,12084.36035,4334070000
2023-04-11,12080.24023,12091.26953,12011.40039,12031.87988,12031.87988,4676960000
2023-04-12,12110.87012,12134.5,11916.54004,11929.33984,11929.33984,4909770000
2023-04-13,11997.41992,12178.79981,11995.94043,12166.26953,12166.26953,4942990000
2023-04-14,12117.91016,12205.71973,12026.54981,12123.46973,12123.46973,4655740000
2023-04-17,12108.23047,12159.01953,12064.09961,12157.71973,12157.71973,4823180000
2023-04-18,12234.55957,12245.42969,12110.23047,12153.41016,12153.41016,4851810000
2023-04-19,12063.67969,12191.09961,12060.16992,12157.23047,12157.23047,4972700000
2023-04-20,12039.08008,12155.95996,12011.9502,12059.55957,12059.55957,4590530000
2023-04-21,12046.03027,12097.15039,11986.82031,12072.45996,12072.45996,4868050000
2023-04-24,12053.46973,12103.58008,11960.29981,12037.2002,12037.2002,4854050000
2023-04-25,11968.80957,11990.45996,11798.76953,11799.16016,11799.16016,4806020000
2023-04-26,11913.23047,11967.99023,11833.07031,11854.34961,11854.34961,5281970000
2023-04-27,11972.15039,12154.00977,11950.91992,12142.24023,12142.24023,5253710000
2023-04-28,12117.54004,12227.71973,12082.57031,12226.58008,12226.58008,5331380000
2023-05-01,12210.04981,12261.32031,12181.08008,12212.59961,12212.59961,5168430000
2023-05-02,12198.01953,12206.58008,12015.23047,12080.50977,12080.50977,5501410000
2023-05-03,12097.04004,12212.54981,12022.45996,12025.33008,12025.33008,5782160000
2023-05-04,11997.33984,12033.15039,11925.37012,11966.40039,11966.40039,4745780000
2023-05-05,12073.03027,12264.83008,12065.71973,12235.41016,12235.41016,4574790000
2023-05-08,12231.67969,12264.99023,12178.25977,12256.91992,12256.91992,4216360000
2023-05-09,12195.78027,12216.12988,12174.05957,12179.54981,12179.54981,4126780000
2023-05-10,12286.66016,12337.69043,12180.86035,12306.44043,12306.44043,4948260000
2023-05-11,12321.25977,12347.37988,12255.44043,12328.50977,12328.50977,4489490000
2023-05-12,12350.51953,12364.65039,12209.58008,12284.74023,12284.74023,4170000000
2023-05-15,12301.16992,12376.40039,12263.34961,12365.20996,12365.20996,3979290000
2023-05-16,12327.04981,12403.80957,12324.51953,12343.04981,12343.04981,4067510000
2023-05-17,12388.58008,12514.07031,12335.01953,12500.57031,12500.57031,4501820000
2023-05-18,12513.87012,12698.5,12512.25977,12688.83984,12688.83984,4532890000
2023-05-19,12709.45996,12731.73047,12624.05957,12657.90039,12657.90039,3935780000
2023-05-22,12664.44043,12756.23047,12655.25977,12720.78027,12720.78027,4278920000
2023-05-23,12652.87988,12709.74023,12554.42969,12560.25,12560.25,4347440000
2023-05-24,12481.88965,12529.62988,12415.84961,12484.16016,12484.16016,4088270000
2023-05-25,12706.44043,12736.91992,12604.88965,12698.08984,12698.08984,4651640000
2023-05-26,12736.41992,13001.91016,12729.74023,12975.69043,12975.69043,4434070000
2023-05-30,13109.09961,13154.29004,12968.12012,13017.42969,13017.42969,4843470000
2023-05-31,12968.37988,13029.08008,12889.37012,12935.29004,12935.29004,5905760000
2023-06-01,12944.45996,13141.83008,12903.62988,13100.98047,13100.98047,4610310000
2023-06-02,13190.48047,13256.20996,13125.86035,13240.76953,13240.76953,4426760000
2023-06-05,13238.48047,13330.65039,13194.9502,13229.42969,13229.42969,4344280000
2023-06-06,13199.58984,13306.20996,13165.65039,13276.41992,13276.41992,4810910000
2023-06-07,13295.25977,13361.90039,13089.48047,13104.90039,13104.90039,5270600000
2023-06-08,13113.26953,13248.59961,13101.17969,13238.51953,13238.51953,4280160000
2023-06-09,13312.38965,13385.9502,13229.33008,13259.13965,13259.13965,4412710000
2023-06-12,13326.37012,13465.91016,13302.58008,13461.91992,13461.91992,4722680000
